"Performance.Parameters_c & Client.and.Consultant.Requests_c","Performance.Parameters_c & Electric_c","Client.and.Consultant.Requests_c & Electric_c","Performance.Parameters_c & Hydraulic_c","Client.and.Consultant.Requests_c & Hydraulic_c","Electric_c & Hydraulic_c","Performance.Parameters_c & PAM_c","Client.and.Consultant.Requests_c & PAM_c","Electric_c & PAM_c","Hydraulic_c & PAM_c","Performance.Parameters_c & Pneumatic_c","Client.and.Consultant.Requests_c & Pneumatic_c","Electric_c & Pneumatic_c","Hydraulic_c & Pneumatic_c","PAM_c & Pneumatic_c","Performance.Parameters_c & SE_c","Client.and.Consultant.Requests_c & SE_c","Electric_c & SE_c","Hydraulic_c & SE_c","PAM_c & SE_c","Pneumatic_c & SE_c","Performance.Parameters_c & Technical.Constraints_c","Client.and.Consultant.Requests_c & Technical.Constraints_c","Electric_c & Technical.Constraints_c","Hydraulic_c & Technical.Constraints_c","PAM_c & Technical.Constraints_c","Pneumatic_c & Technical.Constraints_c","SE_c & Technical.Constraints_c"
0.25,0.5,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.25,0.25,0,0,0,0,0,0,0.5,0,0,0.25,0
0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0
0,0.5,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.5
0,0,0,0.353553390593274,0,0,0,0,0,0,0.353553390593274,0.353553390593274,0,0,0,0.353553390593274,0,0.353553390593274,0.353553390593274,0,0,0.353553390593274,0,0,0,0,0.353553390593274,0
0.408248290463863,0,0,0,0,0.408248290463863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.816496580927726,0,0,0,0,0,0
0.801783725737273,0,0,0,0,0,0,0,0,0,0.267261241912424,0,0,0,0,0.267261241912424,0,0.267261241912424,0,0,0,0.267261241912424,0,0.267261241912424,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0.755928946018454,0,0,0,0,0,0,0,0,0,0.377964473009227,0,0,0,0,0,0.377964473009227,0,0.377964473009227,0,0,0,0,0,0
0,0,0,0.577350269189626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.577350269189626,0.577350269189626,0,0,0,0,0,0
0.408248290463863,0,0,0.816496580927726,0,0,0,0,0,0.408248290463863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
