"id","ENA_UNIT","dat_...units.","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","id.1","ENA_UNIT.1","dat_...units..1","V1.1","V2.1","V3.1","V4.1","V5.1","V6.1","V7.1","V8.1","V9.1","V10.1","V11.1","V12.1","V13.1","V14.1","V15.1","V16.1","V17.1","V18.1","V19.1","V20.1","V21.1","V22.1","V23.1","V24.1","V25.1","V26.1","V27.1","V28.1","id.2","ENA_UNIT.2","dat_...units..2","V1.2","V2.2","V3.2","V4.2","V5.2","V6.2","V7.2","V8.2","V9.2","V10.2","V11.2","V12.2","V13.2","V14.2","V15.2","V16.2","V17.2","V18.2","V19.2","V20.2","V21.2","V22.2","V23.2","V24.2","V25.2","V26.2","V27.2","V28.2","id.3","ENA_UNIT.3","dat_...units..3","V1.3","V2.3","V3.3","V4.3","V5.3","V6.3","V7.3","V8.3","V9.3","V10.3","V11.3","V12.3","V13.3","V14.3","V15.3","V16.3","V17.3","V18.3","V19.3","V20.3","V21.3","V22.3","V23.3","V24.3","V25.3","V26.3","V27.3","V28.3","id.4","ENA_UNIT.4","dat_...units..4","V1.4","V2.4","V3.4","V4.4","V5.4","V6.4","V7.4","V8.4","V9.4","V10.4","V11.4","V12.4","V13.4","V14.4","V15.4","V16.4","V17.4","V18.4","V19.4","V20.4","V21.4","V22.4","V23.4","V24.4","V25.4","V26.4","V27.4","V28.4"
"1","1",1,0.328797974610715,0.164398987305357,0,0,0,0,0,0,0,0,0,0,0.493196961916072,0,0,0.328797974610715,0.493196961916072,0,0,0,0,0,0,0.164398987305357,0,0,0.493196961916072,0,"1","1",1,0.112508790092602,0.562543950463012,0,0,0,0,0,0,0,0,0,0,0.225017580185205,0,0,0.337526370277807,0.225017580185205,0,0,0,0,0,0,0.675052740555614,0,0,0,0,"1","1",1,0.291729982995789,0.437594974493684,0,0,0,0,0,0,0,0,0,0,0.583459965991578,0,0,0.437594974493684,0.291729982995789,0,0,0,0,0,0,0.291729982995789,0,0,0.145864991497895,0,"1","1",1,0.14142135623731,0.424264068711929,0,0,0,0,0,0,0,0,0,0,0.14142135623731,0,0,0.282842712474619,0.707106781186547,0,0,0,0,0,0,0.14142135623731,0,0,0.424264068711929,0,"1","1",1,0.0848188929679971,0.339275571871988,0,0,0,0,0,0,0,0,0,0,0.678551143743977,0,0,0.424094464839985,0.339275571871988,0,0,0,0,0,0,0.339275571871988,0,0,0.0848188929679971,0
"1","2",2,0.554700196225229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.832050294337844,0,0,0,0,0,0,0,0,0,0,0,"1","2",2,0.666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0.666666666666667,0,0,0,0,0,0,0,0,0,0,"1","2",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.447213595499958,0.894427190999916,0,0,0,0,0,0,0,0,0,0,"1","2",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1","2",2,0.894427190999916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.447213595499958,0,0,0,0,0,0,0,0,0,0,0
"1","3",3,0,0.348155311911396,0,0,0,0,0,0,0,0,0,0,0.348155311911396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.870388279778489,"1","3",3,0,0.516397779494322,0,0,0,0,0,0,0,0,0,0,0.258198889747161,0,0,0,0,0.258198889747161,0,0,0,0,0,0,0,0,0,0.774596669241483,"1","3",3,0,0.632455532033676,0,0,0,0,0,0,0,0,0,0,0.632455532033676,0,0,0,0,0.316227766016838,0,0,0,0,0,0,0,0,0,0.316227766016838,"1","3",3,0,0.547722557505166,0,0,0,0,0,0,0,0,0,0,0.182574185835055,0,0,0,0,0.365148371670111,0,0,0,0,0,0,0,0,0,0.730296743340221,"1","3",3,0,0.235702260395516,0,0,0,0,0,0,0,0,0,0,0.235702260395516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.942809041582063
"1","4",4,0,0,0,0.342997170285018,0,0,0,0,0,0,0.514495755427526,0.171498585142509,0,0,0,0.342997170285018,0,0.342997170285018,0.342997170285018,0,0,0.342997170285018,0,0,0,0,0.342997170285018,0,"1","4",4,0,0,0,0.468521285665818,0,0,0,0,0,0,0.156173761888606,0.312347523777212,0,0,0,0.312347523777212,0,0.468521285665818,0.156173761888606,0,0,0.312347523777212,0,0,0,0,0.468521285665818,0,"1","4",4,0,0,0,0,0,0,0,0,0,0,0.392232270276368,0.392232270276368,0,0,0,0.392232270276368,0,0.588348405414552,0.196116135138184,0,0,0.392232270276368,0,0,0,0,0,0,"1","4",4,0,0,0,0.176776695296637,0,0,0,0,0,0,0,0.353553390593274,0,0,0,0.176776695296637,0,0.353553390593274,0.353553390593274,0,0,0.530330085889911,0,0,0,0,0.530330085889911,0,"1","4",4,0,0,0,0.235702260395516,0,0,0,0,0,0,0,0.117851130197758,0,0,0,0.235702260395516,0,0.353553390593274,0.235702260395516,0,0,0.117851130197758,0,0,0,0,0.824957911384306,0
"1","5",5,0.639602149066831,0,0,0,0,0.639602149066831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.426401432711221,0,0,0,0,0,0,"1","5",5,0.771516749810459,0,0,0,0,0.154303349962092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.617213399848368,0,0,0,0,0,0,"1","5",5,0.235702260395516,0,0,0,0,0.235702260395516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.942809041582063,0,0,0,0,0,0,"1","5",5,0.154303349962092,0,0,0,0,0.771516749810459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.617213399848368,0,0,0,0,0,0,"1","5",5,0.639602149066831,0,0,0,0,0.639602149066831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.426401432711221,0,0,0,0,0,0
"1","6",6,0.392232270276368,0,0,0,0,0,0,0,0,0,0.196116135138184,0,0,0,0,0,0,0.392232270276368,0,0,0,0.196116135138184,0,0.784464540552736,0,0,0,0,"1","6",6,0.612372435695795,0,0,0,0,0,0,0,0,0,0.204124145231932,0,0,0,0,0,0,0.204124145231932,0,0,0,0.408248290463863,0,0.612372435695795,0,0,0,0,"1","6",6,0.729324957489473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.583459965991578,0,0.291729982995789,0,0,0,0.145864991497895,0,0.145864991497895,0,0,0,0,"1","6",6,0.35921060405355,0,0,0,0,0,0,0,0,0,0.179605302026775,0,0,0,0,0.179605302026775,0,0.7184212081071,0,0,0,0.538815906080325,0,0,0,0,0,0,"1","6",6,0.781133465884943,0,0,0,0,0,0,0,0,0,0.390566732942472,0,0,0,0,0.260377821961648,0,0.390566732942472,0,0,0,0.130188910980824,0,0,0,0,0,0
"2","1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2","1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2","1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2","1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2","1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","2",2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2","2",2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2","2",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2","2",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2","2",2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","3",3,0,0,0,0.737209780774486,0,0,0,0,0,0,0,0,0,0.589767824619589,0,0,0,0,0,0.294883912309794,0,0.147441956154897,0,0,0,0,0,0,"2","3",3,0,0,0,0.392232270276368,0,0,0,0,0,0,0,0,0,0.392232270276368,0,0,0,0,0,0.588348405414552,0,0.588348405414552,0,0,0,0,0,0,"2","3",3,0,0,0,0.722315118514615,0,0,0,0,0,0,0,0,0,0.481543412343077,0,0,0,0,0,0.481543412343077,0,0.120385853085769,0,0,0,0,0,0,"2","3",3,0,0,0,0.942809041582063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.235702260395516,0,0.235702260395516,0,0,0,0,0,0,"2","3",3,0,0,0,0.615457454896664,0,0,0,0,0,0,0,0,0,0.738548945875996,0,0,0,0,0,0.123091490979333,0,0.246182981958665,0,0,0,0,0,0
"2","4",4,0,0,0,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.666666666666667,0.666666666666667,0,0,0,0,0,0,"2","4",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2","4",4,0,0,0,0.894427190999916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.447213595499958,0,0,0,0,0,0,0,"2","4",4,0,0,0,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.666666666666667,0.666666666666667,0,0,0,0,0,0,"2","4",4,0,0,0,0.639602149066831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.426401432711221,0.639602149066831,0,0,0,0,0,0
